minIron;minCalcium;minSodium;minPotassium;minPhosphorus;minZinc;minThiamine;minRiboflavin;minNiacine;minVitC;minVitB6;minVitB9;minVitA;minVitE;minVitD;maxIron;maxCalcium;maxSodium;maxPotassium;maxPhosphorus;maxZinc;maxThiamine;maxRiboflavin;maxNiacine;maxVitC;maxVitB6;maxVitB9;maxVitA;maxVitE;maxVitD;idIron;idCalcium;idSodium;idPotassium;idPhosphorus;idZinc;idThiamine;idRiboflavin;idNiacine;idVitC;idVitB6;idVitB9;idVitA;idVitE;idVitD
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;15
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
6;1000;1,1;3,9;580;7;0,9;1,1;14;60;1,1;320;400;12;10;ND(inf);2000;1,5;ND(inf);ND(inf);25;ND(inf);ND(inf);ND(inf);ND(inf);25;1000;3000;300;100;10;1200;1,1;3,9;700;8;1,1;1,3;18;85;1,5;400;600;12;20
